child,parent
ORPHA:101001,ORPHA:377788
ORPHA:101001,ORPHA:557493
ORPHA:101003,ORPHA:377788
ORPHA:101003,ORPHA:557493
ORPHA:101004,ORPHA:377788
ORPHA:101004,ORPHA:557493
ORPHA:101005,ORPHA:377788
ORPHA:101005,ORPHA:557493
ORPHA:101006,ORPHA:377788
ORPHA:101006,ORPHA:557493
ORPHA:101007,ORPHA:377788
ORPHA:101007,ORPHA:557493
ORPHA:101008,ORPHA:377788
ORPHA:101008,ORPHA:557493
ORPHA:101009,ORPHA:377788
ORPHA:101009,ORPHA:557493
ORPHA:101010,ORPHA:377788
ORPHA:101010,ORPHA:557493
ORPHA:101011,ORPHA:377788
ORPHA:101011,ORPHA:557493
ORPHA:101016,ORPHA:377788
ORPHA:101016,ORPHA:557493
ORPHA:101023,ORPHA:377791
ORPHA:101023,ORPHA:557493
ORPHA:101028,ORPHA:377788
ORPHA:101028,ORPHA:557493
ORPHA:101029,ORPHA:557494
ORPHA:101030,ORPHA:557494
ORPHA:101041,ORPHA:557494
ORPHA:101043,ORPHA:557494
ORPHA:101046,ORPHA:377788
ORPHA:101046,ORPHA:557493
ORPHA:101049,ORPHA:557494
ORPHA:101050,ORPHA:557494
ORPHA:101063,ORPHA:377791
ORPHA:101063,ORPHA:557493
ORPHA:101068,ORPHA:377788
ORPHA:101068,ORPHA:557493
ORPHA:101070,ORPHA:557494
ORPHA:101071,ORPHA:557494
ORPHA:101075,ORPHA:377788
ORPHA:101075,ORPHA:557493
ORPHA:101076,ORPHA:377788
ORPHA:101076,ORPHA:557493
ORPHA:101077,ORPHA:377788
ORPHA:101077,ORPHA:557493
ORPHA:101078,ORPHA:377788
ORPHA:101078,ORPHA:557493
ORPHA:101081,ORPHA:377788
ORPHA:101081,ORPHA:557493
ORPHA:101082,ORPHA:377788
ORPHA:101082,ORPHA:557493
ORPHA:101083,ORPHA:377788
ORPHA:101083,ORPHA:557493
ORPHA:101084,ORPHA:377788
ORPHA:101084,ORPHA:557493
ORPHA:101085,ORPHA:377788
ORPHA:101085,ORPHA:557493
ORPHA:101088,ORPHA:557494
ORPHA:101089,ORPHA:557494
ORPHA:101090,ORPHA:557494
ORPHA:101091,ORPHA:557494
ORPHA:101092,ORPHA:557494
ORPHA:101097,ORPHA:377788
ORPHA:101097,ORPHA:557493
ORPHA:101101,ORPHA:377788
ORPHA:101101,ORPHA:557493
ORPHA:101102,ORPHA:377788
ORPHA:101102,ORPHA:557493
ORPHA:101104,ORPHA:557494
ORPHA:101108,ORPHA:377788
ORPHA:101108,ORPHA:557493
ORPHA:101109,ORPHA:377788
ORPHA:101109,ORPHA:557493
ORPHA:101110,ORPHA:377788
ORPHA:101110,ORPHA:557493
ORPHA:101111,ORPHA:377788
ORPHA:101111,ORPHA:557493
ORPHA:101112,ORPHA:377788
ORPHA:101112,ORPHA:557493
ORPHA:101150,ORPHA:377788
ORPHA:101150,ORPHA:557493
ORPHA:101206,ORPHA:377789
ORPHA:101206,ORPHA:557493
ORPHA:101330,ORPHA:377788
ORPHA:101330,ORPHA:557493
ORPHA:101334,ORPHA:377788
ORPHA:101334,ORPHA:557493
ORPHA:101351,ORPHA:377791
ORPHA:101351,ORPHA:557493
ORPHA:1014,ORPHA:377788
ORPHA:1014,ORPHA:557493
ORPHA:101433,ORPHA:557492
ORPHA:101435,ORPHA:557492
ORPHA:101435,ORPHA:98053
ORPHA:101685,ORPHA:377788
ORPHA:101685,ORPHA:557493
ORPHA:1018,ORPHA:557494
ORPHA:101932,ORPHA:377791
ORPHA:101932,ORPHA:557493
ORPHA:101934,ORPHA:218436
ORPHA:101934,ORPHA:557492
ORPHA:101934,ORPHA:98054
ORPHA:101936,ORPHA:557492
ORPHA:101936,ORPHA:97935
ORPHA:101937,ORPHA:557492
ORPHA:101937,ORPHA:97935
ORPHA:101938,ORPHA:557492
ORPHA:101938,ORPHA:57146
ORPHA:101939,ORPHA:557492
ORPHA:101939,ORPHA:57146
ORPHA:101940,ORPHA:156601
ORPHA:101940,ORPHA:557492
ORPHA:101940,ORPHA:57146
ORPHA:101941,ORPHA:557492
ORPHA:101941,ORPHA:57146
ORPHA:101943,ORPHA:557492
ORPHA:101943,ORPHA:57146
ORPHA:101943,ORPHA:98059
ORPHA:101944,ORPHA:557492
ORPHA:101944,ORPHA:97955
ORPHA:101945,ORPHA:557492
ORPHA:101945,ORPHA:98060
ORPHA:101950,ORPHA:557492
ORPHA:101950,ORPHA:97966
ORPHA:101950,ORPHA:98057
ORPHA:101952,ORPHA:557492
ORPHA:101952,ORPHA:97978
ORPHA:101953,ORPHA:156638
ORPHA:101953,ORPHA:309005
ORPHA:101953,ORPHA:557492
ORPHA:101953,ORPHA:97978
ORPHA:101954,ORPHA:557492
ORPHA:101954,ORPHA:97978
ORPHA:101955,ORPHA:557492
ORPHA:101955,ORPHA:97978
ORPHA:101956,ORPHA:557492
ORPHA:101956,ORPHA:97978
ORPHA:101957,ORPHA:181384
ORPHA:101957,ORPHA:183628
ORPHA:101957,ORPHA:557492
ORPHA:101958,ORPHA:101954
ORPHA:101958,ORPHA:557492
ORPHA:101959,ORPHA:101958
ORPHA:101959,ORPHA:557492
ORPHA:101960,ORPHA:101959
ORPHA:101960,ORPHA:183637
